province,value
Anhui,59500510
Beijing,19612368
Chongqing,28846170
Fujian,36894216
Guangdong,104303132
Gansu,25575254
Guangxi46026629
Guizhou,34746468
Henan,94023567
Hubei,57237740
Hebei,71854202
Hainan,9171300
HongKong,7061200
Heilongjiang,38312224
Hunan,65683722
Jilin,27462297
Jiangsu,78659903
Jiangxi,44567475
Liaoning,43746323
Macau,552300
Inner,24706321
Ningxia,6301350
Qinghai,5626722
Sichuan,80418200
Shandong,95793065
Shanghai,23019148
Shaanxi,37327378
Shanxi,35712111
Tianjin,12938224
Taiwan,23162123
Xinjiang,21813334
Tibet,3002166
Yunnan,45966239
Zhejiang,54426891
